y,text,text_pt
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .","Em seu relatório financeiro, publicado na sexta-feira, o SEB disse que seu lucro líquido disparou para SEK6,745 bilhões em 2010, ante SEK1,114 bilhões no ano anterior, e propôs um aumento de 50% nos dividendos para SEK1,50 por ação."
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,"As vendas da divisão de lojas de departamentos aumentaram 15% e as vendas da filial da loja de roupas Seppala aumentaram 8%. Enquanto isso, as vendas de Hobby Hall diminuíram 12%."
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .","A pedido dos jornais da empresa de mídia finlandesa Alma Media, o gerente de pesquisa Jari Kaivo-oja do Finland Futures Research Centre da Turku School of Economics traçou um cenário futuro para a economia nacional da Finlândia, usando um modelo desenvolvido pela University of Denver."
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","Na Suécia, as vendas acumuladas em SEK da Gallerix caíram 1% e as vendas denominadas em EUR aumentaram 11%."
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,A empresa apóia seus clientes globais no desenvolvimento de novas tecnologias e oferece um caminho rápido do desenvolvimento de produtos às aplicações e produção em massa.
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .","Quando este investimento estiver em vigor, a Atria planeja expandir para o mercado de Moscou."
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .","“O novo acordo é uma continuação do acordo assinado no início deste ano com o Grupo Lemminkainen, por meio do qual a Cramo adquiriu toda a frota de máquinas de construção da Lemminkainen Talo Oy Ita-ja Pohjois Suomo, e assinou um acordo semelhante”, disse Tatu Hauhio, diretor administrativo da Cramo Finlândia."
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .","Inicialmente, o contrato previa a construção de três ferryboats com opção de mais duas unidades, ainda confirmada por um valor total de 500 milhões de euros (US $ 645,8 milhões)."
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .","Em junho, ela vendeu uma participação de 30 por cento para a Nordstjernan, e o grupo de investimento agora assumiu a opção de adquirir as ações restantes da EQT."
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","DIVULGAÇÃO DA BOLSA DE VALORES DA KESKO CORPORATION 28.02.2008 AT 09.30 1 (1) A Kesko Corporation e a Aspo plc assinaram hoje um acordo pelo qual a Aspo adquire o capital social da Kauko-Telko Ltd, uma subsidiária detida a 100% pela Kesko."
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,"Sponda Plc Stock Exchange Release 5 de dezembro de 2006 em 15,45 EUR 1,5 BILHÕES FACILIDADE DE CRÉDITO SINDICADO PARA SPONDA Sponda assinou um contrato para uma linha de crédito sindicalizada de um ano no valor total de EUR 1,5 bilhão."
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,ANÚNCIO DE BOLSA DE AÇÕES 20 de julho de 2006 1 (1) ASSINATURAS DE AÇÕES BASWARE COM GARANTIAS E AUMENTO DO CAPITAL SOCIAL Um total de 119 850 ações foram subscritas com o Programa de Warrant BasWare.
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .","O contrato cobre a plataforma HDO, nós Fttb ópticos AC800 e CXE880 projetados para aumentar a capacidade de encaminhamento e retorno das redes de transmissão."
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,A nova usina está planejada para ter uma capacidade de geração de eletricidade de até 350 megawatts (MW) e a mesma capacidade de geração de calor.
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .","O índice OMX Helsinki 25 subiu 0,92 por cento para 2.518,67 e o índice de portfólio Helsinki CAP foi 0,91 por cento mais alto para 4.711,19."
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .","- Então, o crescimento das vendas de carros influencia bastante no mercado de pneus ''."
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",Um máximo de 666.104 novas ações podem ser subscritas pelo exercício de opções B de acordo com o plano de opção de ações de 2004.
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .","Como resultado da emissão de ações, o número de ações da empresa aumenta em 391.630 ações e o capital social em um total de EUR 15.665,20."
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .","A investidora imobiliária finlandesa Sponda Plc disse na quarta-feira, 12 de março, que assinou acordos com o Danske Bank A-S, sucursal de Helsinque para uma linha de crédito de EUR 150 milhões de 7 anos e com a Ilmarinen Mutual Pension Insurance Company para uma linha de crédito de EUR 50 milhões de 7 anos."
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .","Na rota entre Helsinque, na Finlândia, e Tallinn, na Estônia, os volumes de carga aumentaram 36%, enquanto os volumes de carga entre a Finlândia e a Suécia caíram 9%."
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .","Outras medidas incluíram sinergias crescentes e economias de escala dentro do Grupo Grimaldi e ajustes de pessoal, desinvestimentos e devolução de tonelagem excedente."
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .","A Rinkuskiai aumentou as vendas em 18,1%, para 1,37 milhão de litros, enquanto as vendas de Kauno Alus cresceram 14,3%, para 960.000 litros."
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,"TELECOMWORLDWIRE-7 de abril de 2006-TJ Group Plc vende participação na Morning Digital Design Oy A empresa finlandesa de TI TJ Group Plc disse na sexta-feira, 7 de abril, que havia assinado um acordo sobre a venda de suas ações da Morning Digital Design Oy para a Edita Oyj."
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,"TELECOMWORLDWIRE-7 de abril de 2006-TJ Group Plc vende participação na Morning Digital Design Oy A empresa finlandesa de TI TJ Group Plc disse na sexta-feira, 7 de abril, que havia assinado um acordo sobre a venda de suas ações da Morning Digital Design Oy para a Edita Oyj."
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .","As 718.430 novas ações da Série A estarão sujeitas à negociação na Lista Principal da Bolsa de Valores de Helsinque, juntamente com as antigas ações da Série A, em 3 de julho de 2006."
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,"Os contratos de compra de combustível foram assinados com três meses de entrega, de setembro a novembro deste ano."
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,"A Tiimari opera 194 lojas em seis países - incluindo seu principal mercado finlandês - e gerou um faturamento de 76,5 milhões de euros em 2005."
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,"Sob este acordo, a Biohit torna-se um fornecedor focado em pipetadores e pontas de pipetadoras descartáveis para clientes VWR em toda a Europa."
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .","A combinação de todos os serviços nos permite oferecer uma cadeia de serviços complexa e reforçada não apenas limitada às conexões portuárias do Báltico, mas também para obter acesso à Rede Grimaldi mundial no Mediterrâneo, África e América do Norte ``, diz Uwe Bakosch."
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,Nenhum ponto cego vindo de um ponto de vantagem permite que os investigadores vejam toda a história em alta resolução sem vídeo ininterrupto.
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .","A empresa ainda espera que seu faturamento em 2010 aumente ligeiramente em relação ao nível de 2009, acrescentando que `` a previsibilidade do mercado ainda é muito pobre para previsões confiáveis sobre o desenvolvimento do mercado do negócio de manufatura por contrato durante o ano corrente ''."
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,A aquisição aumentará consideravelmente as vendas e a posição da Kemira no mercado de revestimentos da indústria de metal da Rússia.
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .","Em janeiro-setembro de 2007, as vendas líquidas da Finnlines aumentaram para EUR 505,4 milhões de EUR 473,5 milhões no período correspondente em 2006."
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .","Ajustado pelas mudanças na estrutura do Grupo, as vendas líquidas da Divisão aumentaram 1,7%."
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .","""A mudança otimizará a eficiência operacional de nosso negócio em crescimento"", disse Julia Prohaska, diretora de comunicações de marketing da Fiskars."
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .","`` Eles iriam investir não apenas na infraestrutura física, mas também forneceriam know-how para gerenciar e desenvolver parques científicos e tecnológicos '', disse o diretor de Sunrise Valley, Andrius Bagdonas."
